Energy(MeV),CrossSection(b)
0.003,857
0.004,1144.9
0.005,805.7
0.006,796
0.007,649.5
0.008,732.6
0.009,840.1
0.01,537.5
0.012,630.9
0.014,441.6
0.016,367
0.018,348.4
0.02,364.8
0.022,313.2
0.024,353.1
0.026,317.8
0.0281,252.3
0.03,260.7
0.0326,254.2
0.0349,237
0.037,213.2
0.0399,195.7
0.0424,191.7
0.0451,174
0.0472,188.6
0.05,176.4
0.0551,173.6
0.0597,161.6
0.065,141.6
0.0702,126.5
0.0751,131.6
0.0806,118.5
0.0856,118.7
0.09,114.4
0.0947,108.5
0.0999,104.4
0.1099,94.5
0.1197,96.4
0.1309,88.6
0.1392,86.5
0.1509,83.7
0.1613,77.3
0.1698,74.4
0.179,67.9
0.1961,68
0.1998,70.6
0.2036,63.9
0.2075,64.8
0.2116,63.2
0.2157,68.1
0.22,57.9
0.2244,55.3
0.229,59
0.2337,56.4
0.2385,61.4
0.2435,59.5
